NCT Number,Title,Status,Gender,Phases,Enrollment,Locations,URL
NCT04448145,Determinants of SARS-COV2 (COVID-19) Persistence After Convalescence,Recruiting,All,,325,"Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04448145
NCT04448756,Study of M5049 in Participants With COVID-19 Pneumonia (ANEMONE),Recruiting,All,Phase 2,150,"University of Alabama-Birmingham Hospital, Birmingham, Alabama, United States|LAC-USC Medical Center, Los Angeles, California, United States|Sharp Chula Vista Medical Center, San Diego, California, United States|Henry Ford Medical Center, Detroit, Michigan, United States|Saint Louis University - Saint Louis University Hospital, Saint Louis, Missouri, United States|Holy Name Hospital - Dept of Multiple Sclerosis Comp Care Center, Teaneck, New Jersey, United States|Christus Spohn Hospital Corpus Christi-Memorial, Corpus Christi, Texas, United States|Santa Casa de Misericórdia de Belo Horizonte, Belo Horizonte, Brazil|Hospital Dia do Pulmão, Blumenau, Brazil|Hospital São José - Sociedade Literária e Caritativa Santo Agostinho, Criciúma, Brazil|Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil|HMCG - Hospital e Maternidade Dr. Christovão da Gama, Santo André, Brazil|Pesquisare, Santo André, Brazil|Hospital Leforte Morumbi, Sao Paulo, Brazil|Hospital Alemão Oswaldo Cruz, São Paulo, Brazil|Hospital Bandeirantes / Hospital Leforte Liberdade, São Paulo, Brazil|Instituto de Infectologia Emílio Ribas, São Paulo, Brazil|Lung Center of the Philippines - Medicine, Quezon, Philippines",https://ClinicalTrials.gov/show/NCT04448756
NCT04449042,The PAWS-COVID-19 (Pediatric AirWay complicationS COVID-19) Registry,Recruiting,All,,15000,"Boston Children's Hopsital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04449042
NCT04452318,COVID-19 Study Assessing the Efficacy and Safety of Anti-Spike SARS CoV-2 Monoclonal Antibodies for Prevention of SARS CoV-2 Infection Asymptomatic in Healthy Adults and Adolescents Who Are Household Contacts to an Individual With a Positive SARS-CoV-2 RT-PCR Assay,"Active, not recruiting",All,Phase 3,3750,"Regeneron Study Site, Mesa, Arizona, United States|Regeneron Study Site, Tucson, Arizona, United States|Regeneron Study Site, Tucson, Arizona, United States|Regeneron Study Site, La Mesa, California, United States|Regeneron Study Site, La Palma, California, United States|Regeneron Study Site, Long Beach, California, United States|Regeneron Study Site, Los Angeles, California, United States|Regeneron Study Site, Los Angeles, California, United States|Regeneron Study Site, Los Angeles, California, United States|Regeneron Study Site, Montclair, California, United States|Regeneron Study Site, Northridge, California, United States|Regeneron Study Site, Oxnard, California, United States|Regeneron Study Site, Sacramento, California, United States|Regeneron Study Site, Sacramento, California, United States|Regeneron Study Site, San Diego, California, United States|Regeneron Study Site, San Francisco, California, United States|Regeneron Study Site, Stanford, California, United States|Regeneron Study Site, Torrance, California, United States|Regeneron Study Site, Torrance, California, United States|Regeneron Study Site, Aurora, Colorado, United States|Regeneron Study Site, Colorado Springs, Colorado, United States|Regeneron Study Site, Washington, District of Columbia, United States|Regeneron Study Site, Boca Raton, Florida, United States|Regeneron Study Site, Clearwater, Florida, United States|Regeneron Study Site, DeLand, Florida, United States|Regeneron Study Site, Fort Pierce, Florida, United States|Regeneron Study Site, Hialeah, Florida, United States|Regeneron Study Site, Jacksonville, Florida, United States|Regeneron Study Site, Lakeland, Florida, United States|Regeneron Study Site, Loxahatchee Groves, Florida, United States|Regeneron Study Site, Maitland, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Orlando, Florida, United States|Regeneron Study Site, Sarasota, Florida, United States|Regeneron Study Site, Tampa, Florida, United States|Regeneron Study Site, West Palm Beach, Florida, United States|Regeneron Study Site, Winter Park, Florida, United States|Regeneron Study Site, Atlanta, Georgia, United States|Regeneron Study Site, Atlanta, Georgia, United States|Regeneron Study Site, Columbus, Georgia, United States|Regeneron Study Site, Decatur, Georgia, United States|Regeneron Study Site, Eatonton, Georgia, United States|Regeneron Study Site, Marietta, Georgia, United States|Regeneron Study Site, Sandy Springs, Georgia, United States|Regeneron Study Site, Chicago, Illinois, United States|Regeneron Study Site 2, Chicago, Illinois, United States|Regeneron Study Site 3, Chicago, Illinois, United States|Regeneron Study Site, Chicago, Illinois, United States|Regeneron Study Site 1, Downers Grove, Illinois, United States|Regeneron Study Site 2, Downers Grove, Illinois, United States|Regeneron Study Site, Ames, Iowa, United States|Regeneron Study Site, Lake Charles, Louisiana, United States|Regeneron Study Site, Marrero, Louisiana, United States|Regeneron Study Site, Metairie, Louisiana, United States|Regeneron Study Site, New Orleans, Louisiana, United States|Regeneron Study Site, Baltimore, Maryland, United States|Regeneron Study Site, Boston, Massachusetts, United States|Regeneron Study Site, Boston, Massachusetts, United States|Regeneron Study Site, Boston, Massachusetts, United States|Regeneron Study Site, Boston, Massachusetts, United States|Regeneron Study Site, Boston, Massachusetts, United States|Regeneron Study Site, Detroit, Michigan, United States|Regeneron Study Site, Royal Oak, Michigan, United States|Regeneron Study Site, Minneapolis, Minnesota, United States|Regeneron Study Site, Gulfport, Mississippi, United States|Regeneron Study Site, Jackson, Mississippi, United States|Regeneron Study Site, Hazelwood, Missouri, United States|Regeneron Study Site, Saint Louis, Missouri, United States|Regeneron Study Site, Las Vegas, Nevada, United States|Regeneron Study Site, Las Vegas, Nevada, United States|Regeneron Study Site, Morristown, New Jersey, United States|Regeneron Study Site, Newark, New Jersey, United States|Regeneron Study Site, Summit, New Jersey, United States|Regeneron Study Site, Teaneck, New Jersey, United States|Regeneron Study Site 1, Bronx, New York, United States|Regeneron Study Site 2, Bronx, New York, United States|Regeneron Study Site, Bronx, New York, United States|Regeneron Study Site, Buffalo, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, New York, New York, United States|Regeneron Study Site, Chapel Hill, North Carolina, United States|Regeneron Study Site, Charlotte, North Carolina, United States|Regeneron Study Site, Fayetteville, North Carolina, United States|Regeneron Study Site, Raleigh, North Carolina, United States|Regeneron Study Site, Wilmington, North Carolina, United States|Regeneron Study Site, Winston-Salem, North Carolina, United States|Regeneron Study Site, Cincinnati, Ohio, United States|Regeneron Study Site, Columbus, Ohio, United States|Regeneron Study Site, Columbus, Ohio, United States|Regeneron Study Site, Dayton, Ohio, United States|Regeneron Study Site, Danville, Pennsylvania, United States|Regeneron Study Site, Philadelphia, Pennsylvania, United States|Regeneron Study Site, Philadelphia, Pennsylvania, United States|Regeneron Study Site, Wilkes-Barre, Pennsylvania, United States|Regeneron Study Site, Providence, Rhode Island, United States|Regeneron Study Site, Charleston, South Carolina, United States|Regeneron Study Site, Charleston, South Carolina, United States|Regeneron Study Site, Clinton, South Carolina, United States|Regeneron Study Site, Gaffney, South Carolina, United States|Regeneron Study Site, Sioux Falls, South Dakota, United States|Regeneron Study Site, Chattanooga, Tennessee, United States|Regeneron Study Site, Knoxville, Tennessee, United States|Regeneron Study Site, Memphis, Tennessee, United States|Regeneron Study Site, Nashville, Tennessee, United States|Regeneron Study Site, Bellaire, Texas, United States|Regeneron Study Site, Corpus Christi, Texas, United States|Regeneron Study Site, Dallas, Texas, United States|Regeneron Study Site, Houston, Texas, United States|Regeneron Study Site, Houston, Texas, United States|Regeneron Study Site, Houston, Texas, United States|Regeneron Study Site, Houston, Texas, United States|Regeneron Study Site, Houston, Texas, United States|Regeneron Study Site, Pearland, Texas, United States|Regeneron Study Site, Red Oak, Texas, United States|Regeneron Study Site, San Antonio, Texas, United States|Regeneron Study Site, Tyler, Texas, United States|Regeneron Study Site, Charlottesville, Virginia, United States|Regeneron Study Site, Richmond, Virginia, United States|Regeneron Study Site, Everett, Washington, United States|Regeneron Study Site, Seattle, Washington, United States|Regeneron Study Site, Yakima, Washington, United States|Regeneron Study Site, Madison, Wisconsin, United States|Regeneron Study Site, Chisinau, Moldova, Republic of|Regeneron Study Site, Bucharest, Romania",https://ClinicalTrials.gov/show/NCT04452318
NCT04452474,Study of the Efficacy and Safety of a Single Administration of Olokizumab vs. Placebo in Addition to Standard Treatment in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection (COVID-19).,Not yet recruiting,All,Phase 2|Phase 3,376,"George Washington University Medical Center, Washington, District of Columbia, United States|Center For Haptitis C/ Atlanta Medical Center, Atlanta, Georgia, United States|PMG Research of DuPage Medical Group, Downers Grove, Illinois, United States|Northwest Indiana Center for Clinical Research, Portage, Indiana, United States|Baystate Infectious Diseases Clinical Research, Springfield, Massachusetts, United States|PMG Research, Inc., Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04452474
NCT04452565,"NA-831, Atazanavir and Dexamethasone Combination Therapy for the Treatment of COVID-19 Infection",Recruiting,All,Phase 2|Phase 3,525,"Coronavirus Research Institute- Testing Site, Los Angeles, California, United States|Coronavirus Research Institute, Orange, California, United States|Coronavirus Research Institute-Testing Site, Palo Alto, California, United States|Coronavirus Research Institute-Testing Site, Sacramento, California, United States|Coronavirus Research Institute-Testing Site, San Diego, California, United States|Coronavirus Research Testing Site, San Francisco, California, United States|Coronavirus Research Institute-Testing Site, Sunnyvale, California, United States|Coronavirus Research Institute-Testing Site, Washington, District of Columbia, United States|Coronavirus Research Institute-Testing Site, Washington, District of Columbia, United States|Coronavirus Research Institute-Testing Site, Fort Lauderdale, Florida, United States|Coronavirus Research Institute-Testing Site, Tampa, Florida, United States|Coronavirus Research Institute- Testing Site, Chicago, Illinois, United States|Coronavirus Research Institute-Testing Site, Naperville, Illinois, United States|Coronavirus Research Institute-Testing Site, Baltimore, Maryland, United States|Coronavirus Research Institute-Testing Site, Bethesda, Maryland, United States|Coronavirus Research Institute-Testing Site, Boston, Massachusetts, United States|Coronavirus Research Institute-Testing Site, Worcester, Massachusetts, United States|Coronavirus Research Institute-Testing Site, Ann Arbor, Michigan, United States|Coronavirus Research Institute-Testing Site, Detroit, Michigan, United States|Coronavirus Research Institute-Testing Site, Newark, New Jersey, United States|Coronavirus Research Institute-Testing Site-, Bronx, New York, United States|Coronavirus Research Institute-Testing Site, New York, New York, United States|Coronavirus Research Institute- Testing Site, Rochester, New York, United States|Coronavirus Research Institute-Testing Site, Durham, North Carolina, United States|Coronavirus Research Institute-Testing Site, Philadelphia, Pennsylvania, United States|Coronavirus Research Institute- Testing Site, Fort Sam Houston, Texas, United States|Coronavirus Research Institute-Testing Site, Galveston, Texas, United States|Coronavirus Research Institute-Testing Site, Houston, Texas, United States|Coronavirus Research Institute-Testing Site, Kirkland, Washington, United States|Coronavirus Research Institute-Testing Site, Seattle, Washington, United States|Coronavirus Research Institute-Testing Site, Tacoma, Washington, United States",https://ClinicalTrials.gov/show/NCT04452565
NCT04452669,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,Recruiting,All,Phase 2,20,"Ohio State University, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT04452669
NCT04452695,Acceptability of Telehealth Triage Using Robotic Systems in COVID-19,Completed,All,,40,"Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04452695
NCT04452942,Cytokine and Eicosanoid Mediators in Coronavirus Disease 2019 (COVID-19),Not yet recruiting,All,,30,"Stony Brook University Hospital, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04452942
NCT04453514,Feasibility of a Brief Trauma-informed Yoga Intervention for Anxiety During the Coronavirus Disease (COVID-19) Pandemic,Recruiting,All,Not Applicable,200,"National University of Natural Medicine, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT04453514
NCT04453657,"Tele-Wellness Supported App for Family Child Care Home Providers and Families to Promote Health, Family Engagement, and School Readiness Amid COVID-19",Enrolling by invitation,All,Not Applicable,270,"Johns Hopkins School of Nursing, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04453657
NCT04453839,ZYESAMI (Aviptadil) Intermediate Population Expanded Access Protocol (SAMICARE),Available,All,,,"Dignity Health-Mercy Gilbert Medical Center, Gilbert, Arizona, United States|Honor Health Shea Medical Center, Scottsdale, Arizona, United States|Kaiser Permanente, Baldwin Park, California, United States|University of California - Irvine, Irvine, California, United States|Lawnwood Regional Medical Center, Fort Pierce, Florida, United States|Lakeland Regional Health, Lakeland, Florida, United States|Miller School of Medicine / University of Miami Medical Center, Miami, Florida, United States|Baptist Hospital of Miami, Miami, Florida, United States|Baycare St. Joseph Hospital, Tampa, Florida, United States|Southeast Georgia Health system, Brunswick, Georgia, United States|Maui Health Systems, Wailuku, Hawaii, United States|St. Anthony Regional Hospital, Carroll, Iowa, United States|University of Louisville, Louisville, Kentucky, United States|St. Tammany Parish Hospital, Covington, Louisiana, United States|Our Ladies of Lourdes Regional Hospital, Lafayette, Louisiana, United States|St. Joseph Heritage Healthcare, Saint Joseph, Missouri, United States|Great Plains Health, North Platte, Nebraska, United States|Self Regional Healthcare, Greenwood, South Carolina, United States|Hendrick Medical Center, Abilene, Texas, United States|Baptist Hospitals of Southeast Texas, Beaumont, Texas, United States|Medical City Denton, Denton, Texas, United States|HR Health Institute for Research & Development, Edinburg, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Memorial Hermann Hospital Houston, Houston, Texas, United States|Medical City McKinney, McKinney, Texas, United States",https://ClinicalTrials.gov/show/NCT04453839
NCT04456153,Atovaquone for Treatment of COVID-19,Completed,All,Phase 2,61,"University of Texas Medical Center, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT04456153
NCT04456413,Convalescent Plasma as Treatment for Subjects With Early COVID-19 Infection,Recruiting,All,Phase 2,306,"Hackensack University Medical Center, Hackensack, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04456413
NCT04456452,Study of Ampion for the Treatment of Adult COVID-19 Patients Requiring Oxygen Supplementation,Completed,All,Phase 1,10,"Research Site, Colorado Springs, Colorado, United States",https://ClinicalTrials.gov/show/NCT04456452
NCT04457817,Compensatory Reserve Index (CRI) for Management of COVID-19,Enrolling by invitation,All,Not Applicable,100,"University of Colorado, Aurora, Colorado, United States",https://ClinicalTrials.gov/show/NCT04457817
NCT04458298,A Study to Evaluate OP-101 (Dendrimer N-acetyl-cysteine) in Severe Coronavirus Disease 2019 (COVID-19) Patients,"Active, not recruiting",All,Phase 2,24,"Research Site, Loma Linda, California, United States|Research site, Fort Lauderdale, Florida, United States|Research Site, Atlanta, Georgia, United States|Research site, Baltimore, Maryland, United States|Research Site, Sioux Falls, South Dakota, United States|Research Site, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04458298
NCT04458363,Convalescent Plasma in Pediatric COVID-19,Completed,All,Early Phase 1,3,"Children's Healthcare of Atlanta, Atlanta, Georgia, United States",https://ClinicalTrials.gov/show/NCT04458363
NCT04458948,Open Label Non-comparative Trial of the Combination of Hydroxychloroquine and Azithromycin in the Treatment of Hospitalized Patients,"Active, not recruiting",All,Phase 2,10000,"University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States",https://ClinicalTrials.gov/show/NCT04458948
NCT04459455,"Project H-COVID: Evaluating Hyper-Brief, Online Materials During the COVID-19 Pandemic",Completed,All,Not Applicable,500,"Stony Brook University, Stony Brook, New York, United States",https://ClinicalTrials.gov/show/NCT04459455
NCT04459520,Effect of Availability of COVID-19 Testing on Choice to Isolate and Socially Distance,Completed,All,Not Applicable,1400,"UCLA Health Department of Medicine, Quality Office, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04459520
NCT04459702,A Study of Combination Therapies to Treat COVID-19 Infection,Withdrawn,All,Phase 2,0,"ProgenaBiome, Ventura, California, United States",https://ClinicalTrials.gov/show/NCT04459702
NCT04460027,W-SUDs for COVID-19,Completed,All,Phase 1,180,"Stanford University, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT04460027
NCT04460664,Coagulation Changes Associated With COVID-19 Infection,Enrolling by invitation,All,,50,"Texas Tech University Health Sciences Center El Paso, El Paso, Texas, United States",https://ClinicalTrials.gov/show/NCT04460664
NCT04460677,ASD (Autism Spectrum Disorder) Telehealth for Distress Related to COVID-19,Recruiting,All,Not Applicable,80,"Rutgers University, Piscataway, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04460677
NCT04460690,"Rapid, Onsite COVID-19 Detection",Enrolling by invitation,All,Not Applicable,10000,"University of Wisconsin, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04460690
NCT04460703,"COVID-19 Vaccine Messaging, Part 1",Completed,All,Not Applicable,4000,"Yale University, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04460703
NCT04461353,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Orally Inhaled Aerosolized Hydroxychloroquine Sulfate in Healthy Adult Volunteers",Completed,All,Phase 1,12,"The Rockefeller University, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04461353
NCT04462848,Covid-19 Convalescent Plasma as Prevention and Treatment for Children With Underlying Medical Conditions,Not yet recruiting,All,Phase 1,30,"University of California, Los Angeles (UCLA), Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04462848
NCT04463004,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,"Active, not recruiting",All,Phase 2,2,"Virginia Commonwealth University, Richmond, Virginia, United States",https://ClinicalTrials.gov/show/NCT04463004
NCT04464395,Study of CPI-006 as Immunotherapy for Hospitalized COVID-19 Patients,Recruiting,All,Phase 1,70,"El Centro Regional Medical Center, El Centro, California, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04464395
NCT04464486,Remote COVID-19 Symptom Tracking for Cancer Patients at Home During the Pandemic,Enrolling by invitation,All,Not Applicable,300,"Huntsman Cancer Institute, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04464486
NCT04465552,Arrhythmic Manifestations and Management in Hospitalized COVID-19 Patients,Recruiting,All,,750,"Kansas City Heart Rhythm Institute, Overland Park, Kansas, United States",https://ClinicalTrials.gov/show/NCT04465552
NCT04465981,Investigation of Antibody and Immune Responses to SARS-CoV-2 Proteins,Recruiting,All,,80,"TMC HealthCare, Tucson, Arizona, United States",https://ClinicalTrials.gov/show/NCT04465981
NCT04466098,Multiple Dosing of Mesenchymal Stromal Cells in Patients With ARDS (COVID-19),"Active, not recruiting",All,Phase 2,9,"University of Minnesota, Minneapolis, Minnesota, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04466098
NCT04466306,Pediatric Acute Kidney Injury in COVID-19,Enrolling by invitation,All,,250,"Children's Hospital of Alabama, Birmingham, Alabama, United States|Arkansas Children's Research Institute, Little Rock, Arkansas, United States|Cedars-Sinai Maxine Dunitz Children's Health Center, Los Angeles, California, United States|UCLA Mattel Children's Hospital, Los Angeles, California, United States|Lucile Packard Children's Hospital Standford, Palo Alto, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Yale New Haven Children's Hospital, New Haven, Connecticut, United States|UF Health Shands Children's Hospital, Gainesville, Florida, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, United States|Comer Children's Hospital - UChicago Medicine, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|University of Iowa Stead Family Children's Hospital, Iowa City, Iowa, United States|Children's Mercy, Kansas City, Kansas, United States|John Hopkins Children's Center, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|C.S. Mott Children's Hospital, Ann Arbor, Michigan, United States|Helen DeVos Children's Hospital, Grand Rapids, Michigan, United States|Beaumont Children's Hospital, Royal Oak, Michigan, United States|St. Louis Children's Hospital of Washington University, Saint Louis, Missouri, United States|Oishei Children's Hospital of Buffalo, Buffalo, New York, United States|Golisano Children's Hospital - University of Rochester Medicine, Rochester, New York, United States|Stony Brook Children's Hospital, Stony Brook, New York, United States|Levine Children's Hospital, Charlotte, North Carolina, United States|Duke Children's Hospital and Health Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Penn State Children's Hospital, Hershey, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States|Lifespan Hasbro Children's Hospital, Providence, Rhode Island, United States|Medical University of South Carolina Shawn Jenkins Children's Hospital, Charleston, South Carolina, United States|Seattle Children's Hospital, Seattle, Washington, United States|Stollery Children's Hospital, Edmonton, Alberta, Canada|McMaster Children's Hospital, Hamilton, Ontario, Canada|The Hospital for Sick Children (SickKids), Toronto, Ontario, Canada|Soroka University Medical Center, Be'er Sheva, Israel|Dana-Dwek Children's Hospital, Tel Aviv, Israel|Shizuoka Children's Hospital, Shizuoka, Japan|Institute for Mother and Child Healthcare, Belgrade, Serbia|University Children's Hospital, Belgrade, Serbia|Hospital 12 de Octubre, Madrid, Spain|Birmingham Children's Hospital NHS, Birmingham, United Kingdom|Alder Hey Children's Hospital NHS, Liverpool, United Kingdom|King's College Hospital NHS, London, United Kingdom|St. George's University Hospital NHS, London, United Kingdom|Great Ormond Street Hospital NHS, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04466306
NCT04466644,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),Completed,All,,340,"Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States",https://ClinicalTrials.gov/show/NCT04466644
NCT04466683,Low-Dose Radiotherapy For Patients With SARS-COV-2 (COVID-19) Pneumonia,Recruiting,All,Phase 2,100,"Boca Raton Regional Hospital Lynn Cancer Institute, Boca Raton, Florida, United States|Miami Cancer Institute, Miami, Florida, United States|Loyola University Chicago, Maywood, Illinois, United States|Indiana University School of Medicine, Indianapolis, Indiana, United States|Lowell General Hospital Cancer Center, Lowell, Massachusetts, United States|Beaumont Hospital, Royal Oak, Michigan, United States|Ohio State University James Cancer Hospital, Columbus, Ohio, United States|Hospital Universitario San Ignacio, Bogotá, Colombia",https://ClinicalTrials.gov/show/NCT04466683
NCT04467931,ACEI or ARB and COVID-19 Severity and Mortality in US Veterans,"Active, not recruiting",All,,10000,"University of Utah, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04467931
NCT04468386,Specimen Collection Study Protocol,"Active, not recruiting",All,,40,"Biomerica, Inc., Irvine, California, United States",https://ClinicalTrials.gov/show/NCT04468386
NCT04468958,"Safety, Tolerability, and Pharmacokinetics of SAB-185 in Healthy Participants","Active, not recruiting",All,Phase 1,28,"Alliance for Multispecialty Research, LLC, Wichita, Kansas, United States|SUNY Upstate Medical University, Syracuse, New York, United States|ICON Early Phase Services, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT04468958
NCT04468971,REgulatory T Cell infuSion fOr Lung Injury Due to COVID-19 PnEumonia,Recruiting,All,Phase 1,45,"Johns Hopkins Hospital, Baltimore, Maryland, United States|Columbia University, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Baylor College of Medicine, St Luke's Hospital, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04468971
NCT04469179,"Safety, Tolerability, and Pharmacokinetics of SAB-185 in Ambulatory Participants With COVID-19","Active, not recruiting",All,Phase 1,21,"Quantum Clinical Trials, Miami Beach, Florida, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Sanford Health, Sioux Falls, South Dakota, United States",https://ClinicalTrials.gov/show/NCT04469179
